,sentence
24376,Ebiruma abantu bitera okukolebwako aboobuyinza abatuufu.
24377,Ekiruubirirwa kya bizinensi yonna ekikulu kwe kukuuma abaguzi baayo.
24378,Bakanyama babeera n'ebifuba ebigazi.
24379,Nnyumirwa okuzinira ku nnyimba.
24380,Abaana abali wansi w'emyaka ekkumi n'omunaana tebasobola kufuna bintu ebimu mu mateeka.
24381,Ebiduula ebisinga bikola kiro.
24382,Ebiduula birina kabi ki?
24383,Abantu bagenda mu biduuka okwewummuzaamu.
24384,Ku ssabbiiti mikwano gyange gijja kugenda mu kiduula.
24385,Kkampuni ki mu Uganda ezivunaanyizibwa ku kubunyisa amasannyalaze?
24386,Okubunyisa amasannyalaze kuyinza kukendeeza kutya obwavu?
24387,Uganda erina embeera y'obudde ennungi.
24388,Amasannyalaze gasaasaanyiziddwa gatya?
24389,Ebyuma mu makolero byetaaga amasannyalaze mangi nnyo okukola.
24390,Uganda ekyalina ekizibu ky'amannyalaze agavaavaako.
24391,Okubunyisa amasannyalaze kirina muganyulo ki?
24392,Zuula ebigonjoola ebizibu by'osanga.
24393,Amasannyalaze g'amaanyi g'enjuba kati gasobola okukola omulimu gwe gumu n'amasannyalaze.
24394,Gavumenti ya Uganda ebunyisizza amasannyalaze mu byalo.
24395,Tulina amabibiro g'amasannyalaze ameka mu Uganda?
24396,Okubunyisa amasannyalaze kujja kuleeta enkulaakulana mu bitundu ebimu.
24397,Ettaka erimu lya gavumenti.
24398,Pulojekiti eno ya kumala bbanga ki?
24399,Buli ggwanga lirina emikolo gyalyo egy'obuwangwa.
24400,Mutegeeragane era musonyiwagane.
24401,Okubeera obumu n'abalala kiwummuza ebirowoozo.
24402,Omwepiskoopi yatubuuliridde enjiri ey'emirembe.
24403,Obwakabaka bulina amateeka agabufuga.
24404,Mukwano gwange yampise ku mukolo gw'embaga ye.
24405,Okukula kw'ebimera kutwala obudde.
24406,Waliwo enkola nnyingi nnyo ez'okumalawo obukuubagano.
24407,Enkaayana ku ttaka teziriggwa.
24408,Bw'oba oyagala obukuubagano okuggwa gezaako okutabagana
24409,"Bwe wabaawo obwegugungo mu kitundu, abantu abamu bakosebwa."
24410,Amawanga gonna mu Uganda galina emikolo gy'obuwangwa gye gakola.
24411,Abantu bafiirwa ebintu byabwe bwe wabalukawo obulumbaganyi mu kitundu.
24412,Abantu abamu tebasenguka mu bifo lwa kyeyagalire.
24413,Abantu batera okwemalira ensonga zaabwe.
24414,Abantu bakyakkiririza mu bulogo.
24415,Obutemu bubeeramu omutemu n'omuntu attiddwa.
24416,Ekintu kyonna kisobola okukutta singa teweegendereza.
24417,Abantu bakyakkiririza mu bafu okudda okuwoolera.
24418,Okufa kusobola okukusanga awantu wonna obudde bwonna.
24419,Omuntu asobola okukutta awatali nsonga nnungi.
24420,Okutta omuntu si kintu kyangu okukola.
24421,Okutwalira amateeka mu ngalo musango gwa naggomola.
24422,Abapoliisi mu butuufu tebali mu kukola mulimu gwabwe.
24423,Buli muntu afa aziikibwa abooluganda lwe oba gavumenti.
24424,Wakyaliwo enkaayana ku ttaka naddaala mu byalo.
24425,Okutangira okugobwa ku ttaka lyo olina okuba ng'olina ebiwandiiko ebikakasa obwannannyini ku lyo.
24426,Gavumenti teyagala kweyingiza mu bya nkaayana za ttaka.
24427,Enkaayana ku ttaka zisobola okuvaamu okufiirwa obulamu singa gavumenti teziyingiramu.
24428,Gavumenti tejja kusobola kugonjoola bizibu byonna biri mu ggwanga.
24429,Bw'ogezaako okukyankalanya ekyalo waliwo emikisa mingi egy'okuteekebwa mu kkomera.
24430,Weetaaga okuzuula oba ddaala ettaka lyo ddaala liryo.
24431,Okugonjoola enkaayana ku ttaka si kintu kyangu.
24432,Entalo z'amawanga zikyalimu mu Uganda.
24433,Poliisi etya okwenyigira mu ntalo z'amawanga.
24434,Mulimu gwa poliisi okugonjoola enkaayana eziyinza okuviirako okufa kw'abantu.
24435,Ebiro bino buli muntu yeefaako yekka.
24436,N'amakanisa nago gategeka ebikujjuko mu mwaka.
24437,Ebitongole eby'enjawulo mu ggwanga bitegeka enkungaana z'abavubuka.
24438,Mulina okwagalana.
24439,Toteekeddwa kwerabira mateeka ekkumi agali mu Bbayibuli.
24440,Oteekeddwa okwagala muliraanwa wo nga naawe bwe weeyagala.
24441,Okuba mu mirembe ne banno y'engeri yokka ey'okuba n'emirembe.
24442,"Mu nkungaana z'abavubuka, abavubuka bayiga bingi."
24443,Weegezeemu mu by'oyize buli kaseera oleme kubyerabira.
24444,Gavumenti yeetaaga okukola enguudo endala nnyingi mu byalo.
24445,Ensimbi ezaagerekebwa okukola enguudo mu byalo tezimala.
24446,Gavumenti tewaayo ssente kuzimba nguudo zimu mu byalo
24447,"Singa enguudo tezirabirirwa, abantu bajja kulekera awo okuzikozesa."
24448,Ensimbi ezigerekeddwa okuddaabiriza enguudo tezimala.
24449,Olukiiko lwa disitulikiti lwokka lwe lusalawo oluguudo olw'okuzimbibwa
24450,Enguudo ennungi era ziyamba ekitundu okukulaakulana.
24451,"Singa gavumenti eremererwa, olwo abantu balina okwekolamu omulimu ne beekolera enguudo."
24452,Ensimbi era zisobola okuva mu bitongole ebirala sso si mu gavumenti mwokka.
24453,Abantu tebaagala kwenyigira mu bya kukola nguudo.
24454,Kaweefube w'abantu okukulaakulanya ekitundu.
24455,Enguudo zirina okuddaabirizibwa zireme kwonooneka.
24456,Abantu abaliko obulemu beetaaga okulabirirwa obulungi.
24457,Si gavumenti yokka y'eyamba abantu abaliko obulemu wabula n'ebitongole by'obwannakyewa.
24458,Kikolwa kirungi okuyamba abantu abaliko obulemu.
24459,Abantu abamu abaliko obulemu beetaaga obugaali bw'abalema okutambula.
24460,Oteekeddwa bulijjo okuyamba omuntu ali mu bwetaavu.
24461,Abantu abaliko obulemu bulijjo basosolebwa mu bitundu.
24462,Gabana akatono k'olina n'oyo atalina ky'alina.
24463,Obugaali bw'abalema buyamba abaliko obulemu okutambula amangu era nga bali bulungi.
24464,Abazadde abamu basuulawo abaana abaliko obulemu.
24465,Kikolwa kirungi okusiima ekyo ekitono omuntu ky'aba akukoledde.
24466,Tewaliiwo nsimbi ziweebwa bantu baliko obulemu mu byalo.
24467,Si kya buwaze nti buli mukolo ogutegekebwa nti abantu bagwetabako.
24468,pulezidenti asobola okugaana okugenda ku mukolo.
24469,Singa abantu bagaana okujja ku mukolo awo waba waliwo ekikyamu.
24470,Si kya buwaze nti bw'oyita omuntu ku mukolo nti ateekeddwa okujja.
24471,Essomero eddungi lyeetaaga okuba n'ebizimbe ebiri mu mbeera ennungi.
24472,Amasomero g'obwannannyini bulijjo tegafuna buyambi kuva mu gavumenti.
24473,Gavumenti yeetaaga okuvaayo n'eyamba amasomero agali mu mbeera embi.
24474,Omuwendo gw'abantu omunene si gwe gunyumisa omukolo.
24475,Waliwo engeri nnyingi ez'okusondamu ensimbi.
24476,N'akatono nako kasobola okweyambisibwa mu kuleeta enkyukakyuka mu kitundu.
24477,Okuzimba ekizimbe kitwala obudde.
24478,Abakulembeze mu kitundu weebali okuyamba mu kukulaakulanya ebitundu byabwe.
24479,Amasomero bulijjo gaweebwa ssente za gavumenti ku ntandikwa y'omwaka gw'ebyenfuna.
24480,Okukulaakulanya essomero kaweefube wa kitundu.
24481,Ne bakabona nabo bakyusibwa okuva ku muluka ogumu okudda ku mulala.
24482,"Ng'oyagala okukyusibwa, olina kusooka kusaba."
24483,"Omwepiskoopi bw'awummula, omulala alondebwa Ppaapa."
24484,Ne mu kkanisa mulimu emitendera mu bukulembeze.
24485,Eky'okukyusa omukulembeze okumuzza mu kifo ekirala tekyagalibwa buli omu.
24486,Okusaba okyusibwa tekukolerawo mangu ddala.
24487,Ekkanisa nazo zitegeka enkungaana z'abavubuka.
24488,Omukulembeze alina okuwa ekitiibwa okukyusibwa kwe era alina okukola nga bw'alagiddwa.
24489,Ebintu ebirungi by'okolera ekitundu kyo bulijjo bisiimibwa.
24490,Si kya buwaze nti omuntu akyusibwa aba yakolera ekitundu bibi byereere.
24491,Kirungi okusabiragana
24492,Buli ekituukawo ziba ntegeka za Katonda.
24493,"Mu biseera ebijja, abantu bajja kwewuunya olw'ebintu ebipya ebigwawo mu bulamu bwabwe."
24494,Buli kintu ekikolebwa mu kkanisa si kya kyama.
24495,Si kya tteeka nti olina okuweereza mu kitundu kyo.
24496,Okusindikibwa mu kitundu ekipya tekisinziira ku buwanvu bwa bbanga ly'omaze mu kitundu.
24497,Kya tteeka okumanya ddi na wa gye wazaalibwa.
24498,Abantu bamanya ebyafaayo byo bw'osindikibwa mu kitundu ekirala.
24499,Okufuuka kabona weetaaga okuyita mu kusomesebwa n'okutegekebwa.
24500,"Bw'oweereza obulungi abantu, weetegeke okulinnyisibwa eddaala."
24501,Ppaapa yekka y'alonda abeepiskoopi mu mawanga gonna.
24502,Abalimi kati bafuna eby'okukozesa ebipya nga balima.
24503,"Bw'oba oyagala okuwangula mu bulimi, yiga okutereka ensimbi zo."
24504,Buvunaanyizibwa bwa gavumenti okusomesa abalimi n'abalunzi ku nkola ezisinga okuba ennungi mu bulimi n'obulunzi.
24505,"Abalimi n'abalunzi beeyambisa bubi ssente ezibaweebwa gavumenti mu kubayamba okutumbula ebyobulimi n'obulunzi bwabwe,"
24506,Abalimi n'abalunzi basobola batya okutumbula ebyobulimi n'obulunzi bwabwe?
24507,Ebiva mu kulima n'okulunda okusinga eba mmere yaffe.
24508,Pulojekiti z'obulimi n'obulunzi zigasa abalimi n'abalunzi.
24509,Abalimi n'abalunzi balina okusomesebwa engeri z'okulima n'okulunda ezisinga obulungi.
24510,Abakulira ebiweerezebwa balina mulimu ki?
24511,Bantu bameka abali ku kakiiko k'embalirira?
24512,Maama wange ambuulirira ku bintu bingi.
24513,Nasuubiza okuwaayo ensimbi ezimu ku mbaga ye.
24514,Ebyafaayo bikyajjukirwa n'okutuusa olwaleero.
24515,Ani katikkiro w'obwakabaka bwa Buganda?
24516,Obukulembeze obulambike obulungi bulina muganyulo ki?
24517,Okutuukiriza omulimu buvunaanyizibwa bunene.
24518,Omukulembeze omulungi aba na bisaanyizo ki?
24519,Ki ekireetera abantu okulya mu bannaabwe olukwe?
24520,"Nga omukulembeze w'ennono, ova mu kitundu ki?"
24521,Akabonero k'essomero lyo kafaanana katya?
24522,Abantu ab'omululu bazibu kukolagana nabo.
24523,Tuyige okugabana n'abalala.
24524,Gavumenti bulijjo esaasaanya nnyo ku pulojekiti z'ebitundu.
24525,Mu Uganda mulimu amagombolola ameka?
24526,Mu bijanjaalo mulimu ekiriisa ekizimba omubirii sso nga ate mu muwogo mulimu ekiriisa ekireeta amaanyi.
24527,Tusobola okumalirawo ddaala obwavu mu Uganda?
24528,Kya magezi okuterekayo akatundu ku nsimbi zo.
24529,"Bw'osalawo okutereka ensimbi zo, zijja kweyongera mpola."
24530,Lwaki onywa omwenge?
24531,Omukazi akola mulimu ki mu maka?
24532,Okunywa n'okufuuweeta sigala si birungi ku bulamu bwo.
24533,Bakabona bawaayo obulamu bwabwe okuweereza Katonda.
24534,Okukozesa obubi ensimbi za gavumenti kibonerezebwa mu mateeka.
24535,Omusango gw'okulya enguzi gwamusinze.
24536,Tuyinza tutya okukuuma emirembe n'obuntubulamu mu bantu?
24537,Bannaabakyala ne bakabaka babeera mu lubiri.
24538,Biki ebimu ku biremesa enkulaakulana?
24539,Ebbaluwa y'okwetonda erina kuwandiikirwa ani?
24540,Mbuuliraako ku bitundu ebimu ebikulemberwa abaami mu Uganda.
24541,Yalibwamu olukwe mukwano gwe ennyo.
24542,Balina enkaayana mu famire ez'okugonjoola.
24543,Abantu abamu beefuula kye batali.
24544,Ova mu bwakabaka ki mu Uganda?
24545,Ki ekireetera obuggya mu bantu?
24546,Obwakabaka bitongole ebyetongodde ku gavumenti ya Uganda.
24547,Bitundu ki ebimu mu Uganda ebikalu?
24548,Abaaweebwa ttenda baakola omulimu ogw'ettendo.
24549,Kizibu okutuukiriza ebisuubizo by'abantu.
24550,Neetamwa okubeera mu kifo ekirimu butabanguko.
24551,Kitongole ki mu Uganda ekivunaanyizibwa ku kubunyisa amazzi?
24552,Muganda wange agenze kukima mazzi ku ttaapu.
24553,Ebintu ebimu tebituukawo nga bwe tubisuubira.
24554,Amazzi amakyafu gayinza okuvaako endwadde.
24555,Amazzi amayonjo geetaagibwa okufumbisa.
24556,Okusoomoozebwa okw'amateeka kulina kukwatibwa kutya?
24557,Kola nnyo okufuna ky'oyagala.
24558,Ttanka y'amazzi ewaka etuyamba okukuuma amazzi singa wabaawo ebbula ly'amazzi.
24559,"Bw'olemererwa, owanguddwa."
24560,Abantu b'omu byalo bayinza kufuna batya amazzi ga ttaapu?
24561,Mpoomerwa okulya enseenene.
24562,Ekyalo gy'ozaalibwa kirimu abantu bameka?
24563,Ebitaala by'oku nguudo birina miganyulo ki?
24564,Ebikolwa ebitali bya buntu tebikkirizibwa mu kitundu.
24565,Abantu abasinga okukakibwa omukwana n'okusobezebwako nga tebanneetuuka bawala bato.
24566,Abantu bakwata batya enseenene?
24567,Abantu abamu balina akawuka akaleeta mukenenya.
24568,Abantu bakwata enseenene ne bazitunda.
24569,Abazadde bambi mulabirire bulungi abaana bammwe.
24570,Abaana beetaaga okulambikibwa okuva mu bazadde n'ababalinako obuyinza.
24571,Lwaki abaana batoloka ewaka?
24572,Abantu batera okukola ebikolobero ekiro.
24573,Abaana abatalina waabwe bamaliriza basula ku nguudo.
24574,Enseenene biwuka ebiriibwa.
24575,Abakazi balina okuba ekyokulabirako eri abawala abato.
24576,Olina okwerekereza olw'ekyo ky'oyagala.
24577,Enseenene biwuka ebirina sizoni.
24578,Abakwasi b'enseenene bakozesa amataala okuzisikiriza ekiro.
24579,Abawala beetaaga okusikirizibwa basigale mu ssomero bamalirize emisomo.
24580,Abawala nabo balina eddembe okusoma.
24581,Gavumenti erina kukola ki okutumbula okusoma kw'omwana omuwala?
24582,Ani atayagala kuba mugagga?
24583,Abaana abamu bakoppa emize mu bikoosi.
24584,Kikkirizibwa nti okugezaako kikufuula omumanyi.
24585,Abayizi ba ssettendekero basindikiddwa okutendekebwa mu makolero.
24586,Bamaama ab'embuto beetaaga okufuna obujjanjabi bw'okuzaala.
24587,Yamba abalala mu biseera by'obwetaavu.
24588,Abawala bawanduka mu ssomero olw'okufuna embuto.
24589,"Nga abaana b'omugenzi, tubanja ekyo ekyaffe ekituufu."
24590,Bizinensi zitandikibwawo bantu.
24591,Akubiriza emirimu yasiimibwa abakozi olw'obukozi bwe ennyo.
24592,Kumpi buli omu alina ebijjukizo by'omuntu oba ekintu.
24593,Ki ekifuula omuntu omuzira?
24594,Egimu ku mikwano gyange giri wabweru wa Uganda.
24595,Yazze okukyalirako mukyala we ku woofiisi eggulo.
24596,Kkampuni z'obwannannyini zikkirizibwa okukola nga bwe zaagala mu Uganda.
24597,Mwannyinaze yasomera mu ssettendekero ya Uganda Christian.
24598,Abavuzi b'ebidduka bayimirira ku masundiro g'amafuta okugula amafuta g'ebidduka byabwe.
24599,Mupoliisi ki ali ku mulimu wiiki eno?
24600,Abazzi b'emisango balina okukolebwako amangu ddaala.
24601,Muliraanwa we yasingisiddwa gwa butemu.
24602,Yali munyiikaavu olw'okufa kwa bbaawe.
24603,Emiwendo gy'amafuta giri kalekaleko mu Uganda.
24604,"Olw'okuba yalemererwa okutuukiriza ekisuubizo kye, sikyasobola kuddamu kumwesiga."
24605,Essomero lyaleeta abakuumi abalala.
24606,Ebintu bye byawambibwa nnannyini nnyumba.
24607,Baaloopa nnannyini nnyumba kwe basula ewa ssentebe w'ekyalo.
24608,Ffenna twakebereddwa omusujja gw'ensiri.
24609,Maama wange yasiibuddwa okuva mu ddwaliro.
24610,Pulezidenti ajja kwogerako eri eggwanga enkya.
24611,Twagambibwa okwewa amanga.
24612,Ffenna twagambiddwa okweyawula ku bannaffe.
24613,Abenganda zange bonna baateekebwa mu kkalantiini.
24614,Ennyumba ye yayonooneddwa amataba.
24615,Abantu bangi nnyo bakoseddwa okubumbulukuka kw'ettaka.
24616,Ennyumba ye yakutte omuliro ekiro kya jjo.
24617,Abantu bonna abaafiiriziddwa ebintu byabwe baabadde banyiivu.
24618,Disitulikiti z'oku nsalo nnyingi zaakosebwa ekirwadde bbunansi.
24619,Amataba gaayonoona ebizimbe bingi.
24620,Bakaawonawo baaweebwa obujjanjabi obw'obwereere.
24621,Ffenna twafuna entiisa ya musisi.
24622,Ebirime byange byayonooneddwa enkuba ennyingi.
24623,Sirina mmere yonna ey'okuliisa famire yange.
24624,Abantu bangi bali mu bwavu obw'enkomeredde.
24625,Abavubi beemulugunyizza ku nnyingiza entono.
24626,Bulijjo tulina okufumba amazzi nga tetunnaganywa.
24627,Gavumenti tennatunula mu buzibu byaffe.
24628,Ebirime ebisinga byakala olw'ekyeya.
24629,Tetunnafuna ku nkuba kati myaka ebiri.
24630,Baasenda ekitoogo okuzimba ennyumba.
24631,Twagambibwa okwewandiisa okulonda.
24632,Ebitundu bya Uganda ebisinga bya ntobazi.
24633,Twakwatibwa olw'okulemererwa okwewa amabanga.
24634,Omuvubi yagambye nti akatale k'ebyennyanja katono kati.
24635,Ebisolo ebisinga birumbiddwa obulwadde bwa kalusu.
24636,Twagambiddwa okunoonya ewalala ew'okubeera.
24637,Maama wange yafuna ssente okuva mu gavumenti.
24638,Yagula emmere nnyingi nnyo.
24639,Baawa abatuuze bonna obuyambi bw'emmere.
24640,Twabalibwa omwaka oguwedde.
24641,Bamaama abasinga tebayambibwako baami baabwe.
24642,Emmere yaweebwayo mu bungi.
24643,Abatuuze baasiima nnyo emmere.
24644,Bafuna n'emmere okuva mu nnimiro zaabwe.
24645,Atunda by'akungudde mu nnimiro okusobola okusasulira abaana be ebisale by'essomero.
24646,Abasiraamu basiiba mu mwezi guno.
24647,Yagambiddwa okuwa okwogera kw'okwebaza.
24648,Abaana bangi tabakyamulaba.
24649,Tusaba bonna abatwagaliza ebirungi okuwaayo eri enteekateeka y'omukolo.
24650,Tetufunanga mbalirira ya misolo yonna.
24651,Yakeberebwa n'azuulwamu Kkookolo wiiki ewedde.
24652,Yakutukira eggumba mu kabenje.
24653,Omuvuzi w'emmotoka wange mulwadde era yaweereddwa ekitanda mu ddwaliro.
24654,Ebinnya bingi mu luguudo lw'e Jinja.
24655,Yatwaliddwa mu kisenge omulongoosebwa.
24656,Abapoliisi bateekeddwa kukuuma mateeka n'obutebenkevu.
24657,Twakubagizza abooluganda lw'omugenzi.
24658,Twasabiddwa okunakuwalira awamu ne famire y'omugenzi.
24659,Yafiira mu kkubo ng'atwalibwa mu ddwaliro.
24660,Kaabuyonjo y'olukale ejja kuzimbibwa mu kyalo kyange.
24661,Kaabuyonjo nnyingi nkyafu era zeenyinyaza.
24662,Kaabuyonjo z'olukale zirina okuteekebwa mu bitundu by'eggwanga eby'enjawulo.
24663,Kaabuyonjo erina okuyonjebwa.
24664,Taata wange alina ettaka ddene.
24665,Buli maka gasuubirwa okuba ne kaabuyonjo.
24666,Bazze ku kuzimba kaabuyonjo empya.
24667,Twakubirizibwa okutumbula obuyonjo.
24668,Kaabuyonjo zaffe nkyafu nnyo.
24669,Amakungula ge twafuna gaali mabi nnyo omwaka guno.
24670,Abalimi baawabulwa ku bika by'ebigimusa eby'okukozesa.
24671,Ssentebe akimanyi nti tetulina mazzi.
24672,Ettaka lyaffe si ggimu wadde.
24673,Nnayikondo eteekeddwa mu kyalo kyange.
24674,Abakulembeze babadde n'olukiiko leero.
24675,Abasuubuzi bangi bafiiriziddwa wiiki eno.
24676,Abantu bangi bafudde ekirwadde ky'akawuka ka kolona.
24677,Disitulikiti z'oku nsalo zonna zaateekebwa ku muggalo.
24678,Tetulina ngeri yonna ya kutunda byamaguzi byaffe bweru wa ggwanga.
24679,Okukyukakyuka kw'emiwendo kungi nnaku zino.
24680,Sisobola kwetuusaako mmere.
24681,Omuwendo gw'abalwadde gweyongerera ku misinde mingi.
24682,Abasuubuzi beemulugunyizza ku miziziko emingi.
24683,Emmere ya bbeeyi nnyo nnaku zino.
24684,Ebyamaguzi ebisinga tubijja mu Kenya.
24685,Abantu bangi baafa enjala.
24686,Atandiseewo bizinensi.
24687,Bizinensi yokka tesobola kunnyimirizaawo.
24688,Abadde mu ddwaliro okuva wiiki ewedde.
24689,Twakyalirako maama wange bwe yali mu ddwaliro.
24690,Abadde ku ddagala naye tannatereera.
24691,Ebisale by'obujjanjabi byali waggulu nnyo.
24692,Abasawo tebamanyi kinnuma.
24693,Nnagambiddwa okugula eddagala.
24694,Yakwatiddwa lwa buliisamaanyi.
24695,Ateeberezebwa yasindikiddwa mu kkooti.
24696,Yeegaanye era n'alaga nga bw'atalina musango mu lutuula lwa kkooti.
24697,Ebibala birungi nnyo mu bulamu bwaffe.
24698,Nkooye okusasula emisolo.
24699,Pulezidenti yasomesezza abantu ku bulungi bw'okusasula emisolo.
24700,Mukyala wange yandoopa ku poliisi olw'okumukuba.
24701,Yaweereddwa amagezi okugenda okukeberebwa.
24702,Abakyala tebalina kye bamanyi ku ddembe lyabwe.
24703,Oluwonko olwawula ekikula lulira okuggyibwawo.
24704,Abakulembeze baffe balina okutuyamba.
24705,Abalwadde bajjanjabibwa bulungi.
24706,Abaweereza b'abantu bonna mu bitundu babadde n'olukiiko leero.
24707,Twamanyisibwa ku kafuba.
24708,Abatuuze b'omu disitulikiti eziri ku nsalo balina okwambala obukookolo obudde bwonna.
24709,Tukubirizibwa okunaaba engalo zaffe nga tetunnalya kintu kyonna.
24710,Bonna abaaliko n'abalwadde baatwaliddwa okukeberebwa.
24711,Abantu bonna abaaziimuula ebiragiro by'okugoberera baakwatiddwa ekirwadde.
24712,Omuvuzi wa loore teyali bulungi ku mutwe.
24713,Yaweebwa amagezi okuwummula ekimala nga tannavuga.
24714,Ebifo awakeberebwa biteekeddwa ku buli disitulikiti eri ku nsalo.
24715,Gavumenti yatuwa ettaka eddala.
24716,Baayanja ebibasoomooza eri abakulembeze.
24717,Abavuzi ba biroole balina okwambala obukookolo.
24718,Abantu bangi baazuuliddwamu akawuka ka kolona.
24719,Yakwatiddwa olw'okuvuga nga teyeefiirayo.
24720,Abantu bangi bazze mu buvubi nga bizinensi.
24721,Abafudde bangi omwezi guno.
24722,Abavubi bonna baakebereddwa omusujja gw'ensiri.
24723,Twatunda ebyennyanja ebimu ebweru w'eggwanga okufuna ssente endala.
24724,Embalirira eyanjuddwa eri abantu.
24725,Ekitongole ky'ebyobulimi kyaweereddwa ssente nnyingi nnyo.
24726,Abantu baawuliriza n'obwegenddereza ng'embalirira y'eggwanga esomebwa.
24727,Amakungula gange gabadde mangi sizoni eno.
24728,Abalimi baasaba okuvujjirirwa okulala.
24729,Yannyonnyodde embalirira yonna.
24730,Abalimi bazze ku nnima y'okutobeka.
24731,Waliwo okweyongera mu muwendo gw'ensimbi ezisaasaanyizibwa.
24732,Amalwaliro gajja kuddaabirizibwa.
24733,Abasawo baasaba okwongezebwa omusaala.
24734,Ekitongole ky'ebyobulamu kitwala ettundutundu ddene ku mbalirira y'eggwanga.
24735,Embalirira yeetaaga okuddamu okwetegerezebwa.
